Date,Year,Forecast Temperature
20-01-2035,2035,23.97759519
21-01-2035,2035,23.4641265
22-01-2035,2035,23.62175939
23-01-2035,2035,23.28099086
24-01-2035,2035,24.06760502
25-01-2035,2035,25.36510076
26-01-2035,2035,27.40237348
27-01-2035,2035,25.28260965
28-01-2035,2035,22.18172228
29-01-2035,2035,25.87648286
30-01-2035,2035,24.86724391
31-01-2035,2035,30.26179
01-02-2035,2035,33.03483785
02-02-2035,2035,35.3227544
03-02-2035,2035,27.00315229
04-02-2035,2035,27.43649306
05-02-2035,2035,30.57968321
06-02-2035,2035,30.37528819
07-02-2035,2035,28.79996084
08-02-2035,2035,31.29758485
09-02-2035,2035,28.0934216
10-02-2035,2035,31.346271
11-02-2035,2035,35.40439703
12-02-2035,2035,35.96344206
13-02-2035,2035,33.76060935
14-02-2035,2035,32.91372099
15-02-2035,2035,34.7405854
16-02-2035,2035,30.38939486
17-02-2035,2035,28.34985376
18-02-2035,2035,30.72262978
19-02-2035,2035,36.27995216
20-02-2035,2035,38.97723999
21-02-2035,2035,36.51487164
22-02-2035,2035,33.11046303
23-02-2035,2035,30.31969913
24-02-2035,2035,35.35231591
25-02-2035,2035,40.57406541
26-02-2035,2035,40.97126781
27-02-2035,2035,39.98404284
28-02-2035,2035,41.18094837
01-03-2035,2035,41.28642175
02-03-2035,2035,39.40584101
03-03-2035,2035,37.74864441
04-03-2035,2035,36.6869861
05-03-2035,2035,37.89323378
06-03-2035,2035,38.34027428
07-03-2035,2035,36.74800696
08-03-2035,2035,39.26093859
09-03-2035,2035,39.67605927
10-03-2035,2035,38.65544755
11-03-2035,2035,35.87763207
12-03-2035,2035,36.15013061
13-03-2035,2035,37.3216687
14-03-2035,2035,36.87935237
15-03-2035,2035,35.47301632
16-03-2035,2035,32.94841114
17-03-2035,2035,36.24051296
18-03-2035,2035,35.40040886
19-03-2035,2035,35.49867262
20-03-2035,2035,39.07964499
21-03-2035,2035,36.70054855
22-03-2035,2035,38.49161417
23-03-2035,2035,39.70168999
24-03-2035,2035,35.43256614
25-03-2035,2035,39.61976332
26-03-2035,2035,40.58734811
27-03-2035,2035,34.39958026
28-03-2035,2035,34.12077168
29-03-2035,2035,38.99085939
30-03-2035,2035,39.86652393
31-03-2035,2035,41.6774016
01-04-2035,2035,43.66633925
02-04-2035,2035,44.32468615
03-04-2035,2035,44.30818163
04-04-2035,2035,41.34776314
05-04-2035,2035,39.02466196
06-04-2035,2035,35.97360509
07-04-2035,2035,38.58576362
08-04-2035,2035,43.83483704
09-04-2035,2035,40.37817962
10-04-2035,2035,36.91204248
11-04-2035,2035,37.99099387
12-04-2035,2035,41.55665631
13-04-2035,2035,44.31739396
14-04-2035,2035,45.9991463
15-04-2035,2035,44.2307962
16-04-2035,2035,44.98321341
17-04-2035,2035,45.10516058
18-04-2035,2035,45.51835681
19-04-2035,2035,47.47127647
20-04-2035,2035,48.14888494
21-04-2035,2035,48.68274684
